District,Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index
ludhiana,2020,10,24.993548387096773,24.925806451612903,14.906451612903227,57.61612903225806,0.0,0.0,0.0,0.0,0.0,14.316129032258065,6.745161290322581,295.4129032258064,1008.5451612903228,1.5516129032258066,1.6193548387096774,216.458064516129,18.69032258064516,7.645161290322581
ludhiana,2020,11,17.566666666666666,17.48,10.616666666666667,67.61,1.1366666666666667,16.666666666666668,4.722333333333334,0.0,0.0,14.176666666666668,6.753333333333333,289.1666666666667,1016.5933333333334,20.996666666666663,1.2266666666666666,162.18333333333334,14.05,6.2
ludhiana,2020,12,12.748387096774191,12.36451612903226,9.119354838709675,81.17096774193548,0.5967741935483871,9.67741935483871,2.8225806451612905,0.0,0.0,14.529032258064516,6.703225806451614,278.57096774193553,1017.1516129032258,26.63548387096774,0.8193548387096774,146.89999999999998,12.680645161290323,5.838709677419355
mansa,2017,1,13.538709677419355,13.251612903225809,9.167741935483871,77.59354838709677,2.4838709677419355,35.483870967741936,11.693870967741937,0.0,0.0,15.283870967741937,7.074193548387097,209.958064516129,1017.9451612903224,41.73548387096774,,144.02903225806452,12.425806451612903,5.838709677419355
mansa,2017,2,17.817857142857143,17.664285714285715,9.603571428571428,64.71785714285714,0.1785714285714285,10.714285714285714,2.529642857142857,0.0,0.0,17.885714285714286,8.732142857142858,250.34642857142856,1015.8392857142856,33.221428571428575,,201.71071428571423,17.435714285714287,7.357142857142857
mansa,2017,3,22.874193548387098,22.59354838709677,10.603225806451611,51.28387096774193,0.4032258064516129,22.580645161290324,3.3606451612903228,0.0,0.0,19.483870967741936,9.2,243.16774193548383,1011.1516129032258,25.416129032258063,,248.71935483870968,21.5,8.64516129032258
mansa,2017,4,31.0,30.28333333333333,10.916666666666666,32.46333333333333,0.2366666666666667,36.66666666666666,3.472666666666667,0.0,0.0,22.563333333333333,11.463333333333331,233.7433333333333,1005.22,16.356666666666666,,293.17,25.266666666666666,9.6
mansa,2017,5,34.119354838709675,34.438709677419354,15.464516129032257,35.44193548387097,0.332258064516129,45.16129032258065,3.3606451612903228,0.0,0.0,21.751612903225805,9.790322580645162,219.8290322580645,1002.8096774193548,27.89677419354839,,299.3451612903226,25.896774193548385,9.419354838709678
mansa,2017,6,32.60333333333333,35.943333333333335,21.65333333333333,56.82333333333334,5.0233333333333325,53.333333333333336,18.61133333333333,0.0,0.0,19.703333333333333,9.396666666666668,186.82,999.3866666666668,31.516666666666666,,265.5233333333333,22.933333333333334,8.3
mansa,2017,7,32.10967741935484,39.63870967741936,25.44516129032258,69.19999999999999,2.919354838709677,77.41935483870968,21.10290322580645,0.0,0.0,19.53548387096774,8.922580645161291,144.29032258064515,998.8419354838708,57.73870967741936,,234.86129032258063,20.30967741935484,7.774193548387097
mansa,2017,8,31.958064516129035,38.906451612903226,25.05483870967742,68.64838709677419,2.293548387096774,87.09677419354838,25.0,0.0,0.0,18.68064516129032,8.667741935483871,163.54516129032257,1000.4935483870968,55.95483870967742,,213.68709677419355,18.448387096774194,7.419354838709677
